"seller_id","order_count","avg_review_score","pct_one_star","on_time_rate","avg_delivery_days"
"557f22c76691849db52d2abccf0015d0",13,3.08,16.7,100.0,14.6
e64d65bc8dbec2accda90c58de5d1246,12,3.08,41.7,75.0,13.4
c6a7539d424a8402232c2228d7a03c5e,10,3.10,40.0,90.0,14.1
"2a1348e9addc1af5aaa619b1a3679d6b",52,3.12,35.3,77.8,17.5
"602044f2c16190c2c6e45eb35c2e21cb",50,3.14,30.6,83.3,14.8
bbad7e518d7af88a0897397ffdca1979,69,3.16,33.8,83.8,13.3
ec4608a1f76453166bb312b2968aeaf4,18,3.17,27.8,82.4,15.2
"2e3be8a987a30d7544dbbda6861cc14e",18,3.17,33.3,92.9,14.5
"63ffcb71394dd8ea3872ed9ffda17c74",17,3.18,29.4,94.1,13.2
f08c008c8a8d31417763738a1788a2a8,22,3.19,28.6,85.0,19.2
"04fdea0c111866e6cf812f1570d6b5bd",10,3.20,20.0,87.5,17.9
f9903dd0f812c7e771fcad47b6fff231,10,3.20,20.0,100.0,13.9
"86bb7c4b535e49a541baf3266b1c95b1",16,3.20,20.0,81.3,20.1
"8d46553a36e68f95350a200c12f8f2e2",13,3.23,30.8,100.0,17.3
"5058e8c1e82653974541e83690655b4a",63,3.24,22.6,88.7,26.7
"099095b050cfe8eb1ddff5317587e96e",17,3.24,35.3,81.3,11.2
f5f1f2c5f923f36ad79ea1d07185ddc9,12,3.25,33.3,90.0,13.2
bc47d5d1490df2b36add65d733eafaba,24,3.25,29.2,90.5,12.9
adcf50477d6a1f5d91bb9d54c4903cb5,19,3.26,26.3,81.3,23.5
"8444e55c1f13cd5c179851e5ca5ebd00",99,3.26,31.3,93.5,21.0
b0b346d3a89f5eb4c2968af3f083cd43,11,3.27,36.4,66.7,23.1
"082e0bf4cb865a6533b1e8e498cc0255",11,3.27,18.2,81.8,14.3
c7fdb77fdbff3c41981bc52f787e959e,10,3.30,30.0,88.9,16.8
c990d6cf976a5718aaedc539f383ab88,10,3.30,20.0,62.5,20.0
"87b740daf17b5d1be335a64164ec6842",13,3.31,30.8,90.9,18.2
"070d165398b553f3b4b851c216b8a358",32,3.32,25.8,87.1,12.1
c60b801f2d52c7f7f91de00870882a75,41,3.32,31.7,84.6,16.0
a6bd7d1ccdac48c6b33b28596b7eb122,16,3.33,40.0,93.3,15.5
c37b2059d4f90d4feead554e5246565e,12,3.33,33.3,75.0,17.2
cb41bfbcbda0aea354a834ab222f9a59,12,3.33,25.0,63.6,37.5
"835f0f7810c76831d6c7d24c7a646d4d",44,3.34,29.5,73.8,18.0
a7f13822ceb966b076af67121f87b063,75,3.34,24.3,97.2,20.4
"49067458c68f7701fd334ce326accbe0",17,3.35,29.4,100.0,12.2
"66fd84ee7528c0c0de85d0f44a73d5ab",11,3.36,27.3,90.9,15.3
"710e3548e02bc1d2831dfc4f1b5b14d4",136,3.36,28.9,96.2,14.4
"0b35c634521043bf4b47e21547b99ab5",51,3.36,26.0,84.0,19.2
"0747d5bb69f0586cc869d8af4c50f93e",14,3.36,28.6,91.7,14.2
"1b8b75e227c9a9c100d0c210fb6176ce",19,3.37,31.6,93.3,14.9
c26a2be5b53b7db6b276280da212a779,13,3.38,38.5,100.0,14.0
"712e6ed8aa4aa1fa65dab41fed5737e4",79,3.38,21.8,79.2,24.6
"6fd52c528dcb38be2eea044946b811f8",67,3.39,27.3,86.6,21.5
ed8cb7b190ceb6067227478e48cf8dde,15,3.40,13.3,93.3,7.3
"1dfe5347016252a7884b694d4f10f5c4",21,3.40,30.0,75.0,18.9
"88460e8ebdecbfecb5f9601833981930",248,3.41,27.1,82.9,17.8
"821fb029fc6e495ca4f08a35d51e53a5",28,3.41,33.3,66.7,16.7
"4e5725ba188db8252977a4f0227bd462",22,3.41,31.8,76.2,20.9
"0725b8c0f3f906e58f70cbe76b7c748c",17,3.41,29.4,75.0,13.0
b2479f944e1b90cf8a5de1bbfde284d6,103,3.42,26.5,88.1,15.3
af4a0e4cfe1d9c26b6712b1be25a72e5,21,3.43,33.3,95.2,13.3
"850913d59ce317156b00f3705f1c3edb",32,3.44,18.8,82.8,13.4
"18a349e75d307f4b4cc646a691ed4216",121,3.44,25.8,94.5,11.1
f76a3b1349b6df1ee875d1f3fa4340f0,24,3.46,16.7,70.8,16.9
"55bb6fe5bebe5012e2d7d9928e1128ff",15,3.47,20.0,86.7,15.0
"054694fa03fe82cec4b7551487331d74",21,3.48,23.8,73.7,22.6
"7c67e1448b00f6e969d365cea6b010ab",982,3.49,20.0,90.9,22.1
"5b581417df4480f632484ba681e53944",12,3.50,16.7,81.8,18.4
"87d3c3aeb3ead335511b3ce315eb341e",15,3.50,21.4,93.3,6.5
"9d39404483343dd55c7ae254494d8388",10,3.50,30.0,90.0,14.2
d32e3909cfb714fb2a6cb092c85b9c5f,10,3.50,30.0,80.0,22.3
"968268a686aa05d1f529fb07dff08130",12,3.50,16.7,100.0,9.3
"81783131d2a97c8d44d406a4be81b5d9",13,3.50,33.3,100.0,7.0
"52f0fe436a347ddad7ed5f9aa4e27eaa",21,3.52,14.3,89.5,14.9
e0878efa0e0b7e5313ac0b43bc04c081,27,3.52,22.2,84.6,18.0
ede0c03645598cdfc63ca8237acbe73d,46,3.52,25.0,67.4,18.4
ea67327e24487bdfac5fbfa37ea124df,32,3.53,21.9,96.9,8.7
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,15,3.53,20.0,86.7,16.5
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,3.53,27.0,82.4,18.2
"5f67c6082caacb26e431a7b17940cece",13,3.54,23.1,76.9,22.7
"9d5604a1f112324ad6b2aa552122e0fb",13,3.54,23.1,100.0,12.5
d9e7e7778b32987280a6f2cb9a39c57d,11,3.55,27.3,81.8,18.5
"91f0eec23d4a61d7d7caeefa3f0ad1ca",11,3.55,27.3,72.7,25.9
e504a4e2efaa45cbff7e268a2c58c956,11,3.55,27.3,70.0,12.9
"4978a02ea9c8be7a9b5480680f40334e",18,3.56,22.2,100.0,5.1
"6973a06f484aacf400ece213dbf3d946",95,3.56,20.2,85.4,14.8
"7fc87cc3e89b3d1d5cabdca32f8485aa",14,3.57,28.6,78.6,19.5
e48cc16ab70bfa09e1401740dce0b3d7,14,3.57,21.4,100.0,14.7
"66dc1b1632bd6a3e508510c5b3492107",37,3.57,21.6,97.2,10.2
"8e6d7754bc7e0f22c96d255ebda59eba",85,3.58,21.2,86.9,15.2
"5075aaa8404020ae6aa8bf4792099b41",13,3.58,16.7,100.0,11.8
"058cb5aeb36d7c0fcae20fc85d5e0a59",12,3.58,25.0,90.9,10.0
"5b0cc932433fa5184b5b94bfe6bcc256",12,3.58,8.3,75.0,12.0
"7040e82f899a04d1b434b795a43b4617",212,3.60,17.6,92.3,10.4
"525e75a6fb1454a2325ab1734bcec221",10,3.60,20.0,100.0,6.2
aae3bfea055532c57fb453ed3ec80b30,48,3.60,14.9,100.0,12.5
"99a54764c341d5dc80b4a8fac4eba3fb",45,3.61,15.9,88.6,7.6
"00720abe85ba0859807595bbf045a33b",13,3.62,23.1,84.6,11.7
"17306570e772e7718c92a562d33f5f1d",29,3.62,20.7,92.6,14.4
d101c6da914ae3d53f7bee42283f2fe2,13,3.62,23.1,92.3,13.4
"610f72e407cdd7caaa2f8167b0163fd8",16,3.63,25.0,87.5,12.6
a2deecd5398f5df4987110c80a1972a3,16,3.63,25.0,100.0,8.2
"9a84ba99f5367fdbd4598363496f1ea2",16,3.63,18.8,100.0,10.7
ef990a83bbea832f36ebe81376335aa8,43,3.63,23.3,79.1,17.0
"229c3efbfb0ea2058de4ccdfbc3d784a",121,3.63,20.8,98.3,10.7
"3092c0b297aacfb4bb6e056ebe13b9b8",19,3.63,15.8,100.0,13.2
"897060da8b9a21f655304d50fd935913",317,3.63,20.1,89.5,14.9
"1835b56ce799e6a4dc4eddc053f04066",423,3.63,20.7,89.7,13.2
"82e0a475a88cc9595229d8029273f045",42,3.64,23.8,92.5,12.8
"7bcd7c5f8631701474db233ccf1c094b",11,3.64,18.2,100.0,14.4
"218f991754f360af9c2daa5e0b8e990c",14,3.64,21.4,85.7,13.9
e99e927c81e3f51739c94fcdfca9f10f,22,3.64,18.2,95.2,14.5
"36a968b544695394e4e9d7572688598f",154,3.65,19.5,96.6,10.7
"04e38a233f726ef161074ab1c9b0399a",23,3.65,17.4,94.7,12.1
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,3.65,25.0,80.0,11.5
d3f39f05462b79a4562d35893a28f159,34,3.65,20.6,87.9,11.8
"244c2f1bff6afe1f2eaf9bfe9b2aed38",23,3.65,17.4,91.3,13.8
f46490624488d3ff7ce78613913a7711,83,3.66,24.1,88.8,10.2
"3c7c4a49ec3c6550809089c6a2ca9370",141,3.66,22.7,94.2,9.5
"95f83f51203c626648c875dd41874c7f",52,3.67,19.2,96.0,11.6
e21a1e8be4715b0fcfd5385643bc49c4,21,3.67,9.5,100.0,16.6
"5b179e9e8cc7ab6fd113a46ca584da81",34,3.67,18.2,94.1,13.0
"81f89e42267213cb94da7ddc301651da",46,3.67,17.4,100.0,7.4
df560393f3a51e74553ab94004ba5c87,28,3.68,14.3,92.3,18.5
cd06602b43d8800bd0afad514919d35c,44,3.68,15.9,95.3,12.7
"6039e27294dc75811c0d8a39069f52c0",64,3.69,18.8,82.5,17.9
cfa5ab0e4d3fc212fd0b3410e7081c62,16,3.69,25.0,100.0,11.9
d20b021d3efdf267a402c402a48ea64b,90,3.69,18.0,83.7,17.0
f4c4daa86e30c7e5a553a8d518ac03a5,20,3.70,20.0,94.4,16.6
d7485b33791774c36108f8c69602d48d,10,3.70,10.0,90.0,8.9
"2b1a40c1daabc6ca280c4b815c101841",23,3.70,17.4,95.5,13.4
"157c3e4b42f81ac4a44e8b1ca2fe9876",23,3.70,17.4,91.3,10.9
"2d50d6282f8aa2257819a77bfaa0efe0",44,3.70,18.2,90.5,13.6
f593898ec748b7a8cb81fc04edafd98a,20,3.70,15.0,84.2,16.6
b14db04aa7881970e83ffa9426897925,83,3.71,15.0,89.7,16.0
d2e753bb80b7d4faa77483ed00edc8ca,14,3.71,7.1,92.9,13.0
b17b679f4f5ce2e03ce6968c62648246,55,3.71,21.8,84.0,19.3
"62c50c1af4dfdc4149d25c5222043d39",14,3.71,14.3,100.0,12.2
"89bc797e2e29667aa035d4368f9b7f92",17,3.71,23.5,81.3,15.5
"07bf9669d84d1f11be443a9dd938f698",18,3.72,22.2,100.0,8.2
"99002261c568a84cce14d43fcffb43ea",36,3.72,13.9,94.4,16.7
ed4acab38528488b65a9a9c603ff024a,32,3.72,12.5,100.0,9.8
be8e909810184b9b19e886129149d8e5,15,3.73,13.3,86.7,15.2
"9803a40e82e45418ab7fb84091af5231",11,3.73,27.3,100.0,15.5
"8ff1a9df749e454105c55cda13e79143",13,3.73,9.1,100.0,12.6
"8f54d64f28a993550aa7943f12572959",15,3.73,20.0,93.3,14.0
"014d9a685fd57276679edd00e07089e5",11,3.73,18.2,100.0,9.1
"2089a6d640999f9b9141ac719b2af596",44,3.73,25.0,87.8,19.5
"75d34ebb1bd0bd7dde40dd507b8169c3",62,3.74,17.7,87.7,16.1
dd55f1bb788714a40e7954c3be6df745,35,3.74,8.6,82.9,18.3
"977f9f63dd360c2a32ece2f93ad6d306",24,3.75,20.8,91.3,12.7
"3f8034bfc6b8b4135534975d49f04c63",12,3.75,25.0,100.0,10.9
"1ce3ae5a399804d1a87e706f8a813c3e",40,3.75,15.0,92.5,14.4
"08d0949a9a17c027262db1f3c450c26c",12,3.75,8.3,100.0,14.3
bf84056e679dbe9c69929847a40e338f,36,3.75,16.7,94.3,12.5
d2374cbcbb3ca4ab1086534108cc3ab7,524,3.76,14.7,94.7,14.6
af3ef48d0e13835e529c29ac573c63e5,21,3.76,19.0,95.2,8.0
"44073f8b7e41514de3b7815dd0237f4f",144,3.76,16.8,96.5,13.1
"55f7a3319d80f7fdf078b8f03e6725fe",22,3.77,13.6,95.5,6.7
db2956745b3a8e9f3785c99f34b5d25e,47,3.77,17.0,91.1,14.2
cee48807215b30a12ca2ca10ffb5f250,39,3.77,17.9,87.2,23.6
a8739afb32aaa45e01815ca76f76f54b,13,3.77,15.4,100.0,9.5
"855668e0971d4dfd7bef1b6a4133b41b",312,3.77,16.6,87.3,16.2
"8f78f0903005064036736c7173a5c2ed",13,3.77,23.1,100.0,17.3
"891071be6ba827b591264c90c2ae8a63",92,3.77,20.7,85.9,13.7
"6a51fc556dab5f766ced6fbc860bc613",26,3.77,15.4,91.7,14.0
eed78ac17f7f795a19a709745f00cd4e,22,3.77,13.6,100.0,9.9
ea566164622c6b439516ab18062c42cd,50,3.78,16.0,82.0,13.9
dc4a0fc896dc34b0d5bfec8438291c80,231,3.78,15.2,93.3,13.8
"431af27f296bc6519d890aa5a05fdb11",117,3.78,19.0,86.2,17.2
"30829ded4523ab9224b93bc49a62c95f",18,3.78,16.7,94.4,12.1
"63b464dbf392c7b80d12d932fa7cafed",37,3.78,18.9,94.4,13.0
"3fd1e727ba94cfe122d165e176ce7967",37,3.78,18.9,80.0,15.6
dd533b429f380718b70ad9922c294bae,41,3.78,17.1,89.7,17.2
ffa6adafb71b807dc13159e26431354c,18,3.78,11.1,100.0,9.7
e2aee0892199b1d92530e371abd825bf,38,3.79,18.4,86.1,15.4
c273175f7c6c80fb02f051e2fc6d0d72,14,3.79,14.3,92.9,10.6
"4ebdc7e6cd6102a022dadc49156d4ea8",29,3.79,17.2,96.6,10.0
"0bf0150d5b9d60d9cd2906003332f085",39,3.79,18.4,84.6,14.1
e8b3a3a38279a82f0e5d006d5e5b7d2c,87,3.79,19.5,96.3,17.2
"213b25e6f54661939f11710a6fddb871",155,3.79,14.9,93.4,15.2
d1c281d3ae149232351cd8c8cc885f0d,215,3.80,16.4,93.5,12.7
